time 	 cos(th) 	 sin(th) 	 theta 	 theta_dot 
0.000 	 -0.572 	 0.820 	 2.180 	 	 0.300 
0.050 	 -0.599 	 0.801 	 2.213 	 	 0.664 
0.100 	 -0.639 	 0.770 	 2.263 	 	 1.013 
0.150 	 -0.689 	 0.725 	 2.330 	 	 1.339 
0.200 	 -0.745 	 0.667 	 2.412 	 	 1.631 
0.250 	 -0.805 	 0.594 	 2.506 	 	 1.879 
0.300 	 -0.862 	 0.507 	 2.609 	 	 2.073 
0.350 	 -0.912 	 0.410 	 2.720 	 	 2.202 
0.400 	 -0.953 	 0.304 	 2.832 	 	 2.258 
0.450 	 -0.981 	 0.196 	 2.944 	 	 2.234 
0.500 	 -0.996 	 0.091 	 3.051 	 	 2.130 
0.550 	 -1.000 	 -0.006 	 3.135 	 	 1.946 
0.600 	 -0.996 	 -0.091 	 3.051 	 	 1.690 
0.650 	 -0.987 	 -0.159 	 2.982 	 	 1.370 
0.700 	 -0.978 	 -0.208 	 2.932 	 	 1.000 
0.750 	 -0.972 	 -0.237 	 2.903 	 	 0.592 
0.800 	 -0.970 	 -0.245 	 2.894 	 	 0.163 
0.850 	 -0.973 	 -0.231 	 2.908 	 	 -0.272 
0.900 	 -0.980 	 -0.197 	 2.943 	 	 -0.697 
0.950 	 -0.990 	 -0.143 	 2.998 	 	 -1.097 
1.000 	 -0.997 	 -0.071 	 3.071 	 	 -1.456 
1.050 	 -1.000 	 0.017 	 3.125 	 	 -1.761 
1.100 	 -0.993 	 0.117 	 3.025 	 	 -1.999 
1.150 	 -0.975 	 0.223 	 2.917 	 	 -2.164 
1.200 	 -0.944 	 0.331 	 2.804 	 	 -2.248 
1.250 	 -0.900 	 0.435 	 2.692 	 	 -2.251 
1.300 	 -0.848 	 0.530 	 2.583 	 	 -2.176 
1.350 	 -0.790 	 0.613 	 2.481 	 	 -2.030 
1.400 	 -0.731 	 0.683 	 2.390 	 	 -1.822 
1.450 	 -0.675 	 0.738 	 2.312 	 	 -1.561 
1.500 	 -0.627 	 0.779 	 2.249 	 	 -1.260 
1.550 	 -0.591 	 0.807 	 2.203 	 	 -0.927 
1.600 	 -0.567 	 0.823 	 2.174 	 	 -0.574 
1.650 	 -0.559 	 0.829 	 2.164 	 	 -0.208 
1.700 	 -0.565 	 0.825 	 2.172 	 	 0.163 
1.750 	 -0.587 	 0.810 	 2.198 	 	 0.530 
1.800 	 -0.622 	 0.783 	 2.243 	 	 0.885 
1.850 	 -0.669 	 0.743 	 2.304 	 	 1.221 
1.900 	 -0.724 	 0.690 	 2.380 	 	 1.527 
1.950 	 -0.783 	 0.623 	 2.470 	 	 1.793 
2.000 	 -0.841 	 0.541 	 2.570 	 	 2.008 
2.050 	 -0.894 	 0.447 	 2.678 	 	 2.162 
2.100 	 -0.939 	 0.344 	 2.790 	 	 2.246 
2.150 	 -0.972 	 0.236 	 2.903 	 	 2.252 
2.200 	 -0.992 	 0.129 	 3.012 	 	 2.178 
2.250 	 -1.000 	 0.029 	 3.113 	 	 2.024 
2.300 	 -0.998 	 -0.061 	 3.080 	 	 1.793 
2.350 	 -0.991 	 -0.136 	 3.006 	 	 1.496 
2.400 	 -0.981 	 -0.192 	 2.949 	 	 1.143 
2.450 	 -0.974 	 -0.228 	 2.911 	 	 0.747 
2.500 	 -0.970 	 -0.244 	 2.895 	 	 0.324 
2.550 	 -0.971 	 -0.239 	 2.900 	 	 -0.110 
2.600 	 -0.977 	 -0.212 	 2.928 	 	 -0.541 
2.650 	 -0.986 	 -0.166 	 2.975 	 	 -0.952 
2.700 	 -0.995 	 -0.100 	 3.041 	 	 -1.328 
2.750 	 -1.000 	 -0.017 	 3.124 	 	 -1.654 
2.800 	 -0.997 	 0.078 	 3.063 	 	 -1.919 
2.850 	 -0.983 	 0.183 	 2.957 	 	 -2.112 
2.900 	 -0.957 	 0.291 	 2.846 	 	 -2.226 
2.950 	 -0.918 	 0.397 	 2.733 	 	 -2.259 
3.000 	 -0.868 	 0.496 	 2.623 	 	 -2.213 
3.050 	 -0.812 	 0.584 	 2.518 	 	 -2.092 
3.100 	 -0.752 	 0.659 	 2.423 	 	 -1.906 
3.150 	 -0.695 	 0.719 	 2.339 	 	 -1.664 
3.200 	 -0.644 	 0.765 	 2.271 	 	 -1.376 
3.250 	 -0.603 	 0.798 	 2.218 	 	 -1.054 
3.300 	 -0.574 	 0.819 	 2.183 	 	 -0.707 
3.350 	 -0.560 	 0.828 	 2.165 	 	 -0.345 
3.400 	 -0.561 	 0.828 	 2.167 	 	 0.025 
3.450 	 -0.577 	 0.816 	 2.186 	 	 0.394 
3.500 	 -0.608 	 0.794 	 2.224 	 	 0.755 
3.550 	 -0.650 	 0.760 	 2.279 	 	 1.099 
3.600 	 -0.703 	 0.712 	 2.350 	 	 1.417 
3.650 	 -0.760 	 0.649 	 2.435 	 	 1.699 
3.700 	 -0.820 	 0.573 	 2.532 	 	 1.935 
3.750 	 -0.875 	 0.483 	 2.637 	 	 2.113 
3.800 	 -0.924 	 0.383 	 2.748 	 	 2.224 
3.850 	 -0.961 	 0.277 	 2.861 	 	 2.259 
3.900 	 -0.986 	 0.169 	 2.972 	 	 2.215 
3.950 	 -0.998 	 0.065 	 3.077 	 	 2.090 
4.000 	 -1.000 	 -0.029 	 3.112 	 	 1.887 
4.050 	 -0.994 	 -0.110 	 3.032 	 	 1.614 
4.100 	 -0.985 	 -0.173 	 2.968 	 	 1.280 
4.150 	 -0.976 	 -0.217 	 2.923 	 	 0.898 
4.200 	 -0.971 	 -0.241 	 2.898 	 	 0.484 
4.250 	 -0.970 	 -0.243 	 2.896 	 	 0.052 
4.300 	 -0.974 	 -0.225 	 2.915 	 	 -0.382 
4.350 	 -0.983 	 -0.185 	 2.955 	 	 -0.802 
4.400 	 -0.992 	 -0.126 	 3.015 	 	 -1.193 
4.450 	 -0.999 	 -0.050 	 3.092 	 	 -1.540 
4.500 	 -0.999 	 0.042 	 3.100 	 	 -1.829 
4.550 	 -0.990 	 0.144 	 2.998 	 	 -2.049 
4.600 	 -0.968 	 0.251 	 2.888 	 	 -2.193 
4.650 	 -0.934 	 0.358 	 2.775 	 	 -2.256 
4.700 	 -0.888 	 0.460 	 2.663 	 	 -2.239 
4.750 	 -0.833 	 0.553 	 2.556 	 	 -2.145 
4.800 	 -0.775 	 0.633 	 2.457 	 	 -1.982 
4.850 	 -0.716 	 0.698 	 2.369 	 	 -1.760 
4.900 	 -0.662 	 0.749 	 2.294 	 	 -1.488 
4.950 	 -0.617 	 0.787 	 2.236 	 	 -1.177 
5.000 	 -0.583 	 0.812 	 2.194 	 	 -0.838 
5.050 	 -0.564 	 0.826 	 2.170 	 	 -0.481 
